User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
terraform-admin,ASIA4JX3H7RH3JGJRIGL,2025-12-13T19:33:34Z,ec2.amazonaws.com,DeleteSecurityGroup,ap-south-1,223.178.85.116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-02230f83e5ffef7b2""}]",0b056802-4d22-4c5e-bd67-d958012fa1d2,660d3b84-4529-47ad-a530-ac495f4c5be8,false,AwsApiCall,845561723983,Management
terraform-admin,AKIA4JX3H7RH5MBWTNE2,2025-12-13T19:33:06Z,ec2.amazonaws.com,DeleteSecurityGroup,ap-south-1,223.178.85.116,APN/1.0 HashiCorp/1.0 Terraform/1.13.4 (+https://www.terraform.io) terraform-provider-aws/5.100.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go-v2/1.36.3 ua/2.1 os/windows lang/go#1.23.10 md/GOOS#windows md/GOARCH#amd64 api/ec2#1.224.1 m/n,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0e909b9b694d96c9c""}]",a3955c2b-0e4a-47e6-bb7d-d57a511c0d66,0d7d9e3a-bc19-4354-bb8b-0f2f37f63dbf,false,AwsApiCall,845561723983,Management
terraform-admin,AKIA4JX3H7RH5MBWTNE2,2025-12-13T19:33:04Z,ec2.amazonaws.com,DeleteSecurityGroup,ap-south-1,223.178.85.116,APN/1.0 HashiCorp/1.0 Terraform/1.13.4 (+https://www.terraform.io) terraform-provider-aws/6.26.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go-v2/1.41.0 ua/2.1 os/windows lang/go#1.24.11 md/GOOS#windows md/GOARCH#amd64 api/ec2#1.276.1 m/n,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-08444afec2978a589""}]",b5d682de-c4b1-4606-af04-280e26aead36,1f6c9a6d-ede2-4145-b059-c173cad3ae08,false,AwsApiCall,845561723983,Management
terraform-admin,ASIA4JX3H7RH5RSUVADJ,2025-12-13T19:33:00Z,elasticloadbalancing.amazonaws.com,DeleteTargetGroup,ap-south-1,223.178.85.116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::ElasticLoadBalancingV2::TargetGroup"",""resourceName"":""arn:aws:elasticloadbalancing:ap-south-1:845561723983:targetgroup/mum-ubuntu-tg-13-Dec-2025/27d7e54690c76eae""}]",c4639a6b-fe1e-4efd-9daa-e77343515a7b,d5d5e0bc-63c9-45a4-b163-5ebf2f03c797,false,AwsApiCall,845561723983,Management
ElasticLoadBalancing,,2025-12-13T19:32:59Z,ec2.amazonaws.com,DeleteNetworkInterface,ap-south-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-041e6482ef3dac8a5""}]",5484dc32-95a0-4b0c-8a9e-4a6e990b9527,d07cf927-e7c0-4442-bf65-0794a742ad3d,false,AwsApiCall,845561723983,Management
ElasticLoadBalancing,,2025-12-13T19:32:58Z,ec2.amazonaws.com,DeleteNetworkInterface,ap-south-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0454d9df83bb65f42""}]",2854da2e-1662-4f3b-ad11-b33db09ac8fe,f39266a0-16d9-4a3d-921b-60c817eb1de7,false,AwsApiCall,845561723983,Management
terraform-admin,AKIA4JX3H7RH5MBWTNE2,2025-12-13T19:32:55Z,ec2.amazonaws.com,DeleteSecurityGroup,ap-south-1,223.178.85.116,APN/1.0 HashiCorp/1.0 Terraform/1.13.4 (+https://www.terraform.io) terraform-provider-aws/5.100.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go-v2/1.36.3 ua/2.1 os/windows lang/go#1.23.10 md/GOOS#windows md/GOARCH#amd64 api/ec2#1.224.1 m/n,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0e909b9b694d96c9c""}]",49eb59e2-8a15-45c9-8953-f9db7e44acf3,67fe3aac-9bb0-4d3e-b148-882a1fec7f26,false,AwsApiCall,845561723983,Management
ElasticLoadBalancing,,2025-12-13T19:32:55Z,ec2.amazonaws.com,DeleteNetworkInterface,ap-south-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0bbf162f4c19d5272""}]",00fb9773-2fc8-4abe-a5c6-1f71acb65a26,ae6a0c0b-640e-43f4-a709-03f9cd0c301e,false,AwsApiCall,845561723983,Management
terraform-admin,AKIA4JX3H7RH5MBWTNE2,2025-12-13T19:32:53Z,ec2.amazonaws.com,DeleteSecurityGroup,ap-south-1,223.178.85.116,APN/1.0 HashiCorp/1.0 Terraform/1.13.4 (+https://www.terraform.io) terraform-provider-aws/6.26.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go-v2/1.41.0 ua/2.1 os/windows lang/go#1.24.11 md/GOOS#windows md/GOARCH#amd64 api/ec2#1.276.1 m/n,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-08444afec2978a589""}]",9fae9b38-2ee8-4aab-9118-4403cc69a2af,33069613-a3c3-4fd3-9d9c-3bcd6b3c0258,false,AwsApiCall,845561723983,Management
ElasticLoadBalancing,,2025-12-13T19:32:53Z,ec2.amazonaws.com,DeleteNetworkInterface,ap-south-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,Client.InvalidParameterValue,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0454d9df83bb65f42""}]",43845881-6ff7-4edd-9554-0b15b9e37a66,3b165def-e280-40ac-9d27-261909eec895,false,AwsApiCall,845561723983,Management
